metric\query, all, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 36, 37, 38, 39, 40, 42, 43, 44, 45, 48, 49, 57, 58, 59, 60, 61, 62, 63, 64, 
bpref, 0.8452, 1.0000, 1.0000, 0.5000, 0.9167, 0.8750, 1.0000, 0.9286, 1.0000, 1.0000, 0.6857, 0.8947, 0.8000, 0.8182, 0.3409, 0.6000, 0.8824, 0.7500, 0.8182, 0.6364, 1.0000, 0.9091, 1.0000, 1.0000, 0.3077, 0.7451, 0.7667, 0.8621, 1.0000, 0.7368, 1.0000, 1.0000, 0.6667, 1.0000, 1.0000, 1.0000, 0.6875, 0.9167, 1.0000, 0.7143, 0.7317, 0.7059, 0.9615, 0.9167, 0.8750, 1.0000, 0.6333, 0.8605, 0.9259, 0.8710, 0.8750, 0.8333, 1.0000, 
iprec_at_recall_0.00, 0.6643, 0.5000, 0.3333, 0.0390, 0.6667, 0.5000, 0.3333, 1.0000, 0.5000, 0.4000, 1.0000, 1.0000, 1.0000, 1.0000, 0.1538, 0.5000, 0.2500, 0.5000, 0.2222, 1.0000, 1.0000, 0.5000, 1.0000, 1.0000, 0.3333, 1.0000, 0.3158, 1.0000, 1.0000, 0.5000, 1.0000, 0.3333, 1.0000, 0.0213, 0.5000, 0.1429, 0.4000, 1.0000, 1.0000, 0.2500, 1.0000, 1.0000, 1.0000, 0.2000, 1.0000, 1.0000, 0.6667, 1.0000, 0.4000, 1.0000, 0.0800, 1.0000, 1.0000, 
iprec_at_recall_0.10, 0.5758, 0.5000, 0.3333, 0.0390, 0.6667, 0.5000, 0.3333, 0.7500, 0.5000, 0.4000, 0.8000, 1.0000, 1.0000, 1.0000, 0.1250, 0.5000, 0.2000, 0.5000, 0.2222, 0.7500, 1.0000, 0.5000, 1.0000, 1.0000, 0.0952, 0.4000, 0.3158, 0.7500, 1.0000, 0.4348, 1.0000, 0.3333, 1.0000, 0.0213, 0.5000, 0.1429, 0.4000, 0.2500, 1.0000, 0.2500, 0.4000, 1.0000, 0.7500, 0.0267, 1.0000, 1.0000, 0.6000, 0.3333, 0.2414, 1.0000, 0.0800, 1.0000, 1.0000, 
iprec_at_recall_0.20, 0.4384, 0.5000, 0.3333, 0.0390, 0.1071, 0.5000, 0.3333, 0.6000, 0.5000, 0.4000, 0.7000, 0.4667, 1.0000, 0.6000, 0.0882, 0.1538, 0.0714, 0.3077, 0.1875, 0.7500, 1.0000, 0.4286, 0.8750, 1.0000, 0.0612, 0.3939, 0.3158, 0.4667, 1.0000, 0.4348, 1.0000, 0.3333, 1.0000, 0.0213, 0.4706, 0.0882, 0.1379, 0.0984, 0.4615, 0.1923, 0.3448, 0.0177, 0.2609, 0.0261, 0.2857, 1.0000, 0.3448, 0.3333, 0.2414, 0.4444, 0.0800, 1.0000, 1.0000, 
iprec_at_recall_0.30, 0.3545, 0.5000, 0.3333, 0.0390, 0.0460, 0.0968, 0.3333, 0.1667, 0.5000, 0.1818, 0.6316, 0.4667, 0.5000, 0.4444, 0.0782, 0.1538, 0.0714, 0.1923, 0.0889, 0.5714, 1.0000, 0.1667, 0.8750, 1.0000, 0.0310, 0.3333, 0.1364, 0.3103, 1.0000, 0.4348, 0.1667, 0.3333, 1.0000, 0.0213, 0.4706, 0.0870, 0.1163, 0.0984, 0.4615, 0.1481, 0.2381, 0.0177, 0.2131, 0.0261, 0.1765, 1.0000, 0.3448, 0.2500, 0.1837, 0.3448, 0.0521, 1.0000, 1.0000, 
iprec_at_recall_0.40, 0.3024, 0.5000, 0.1250, 0.0390, 0.0370, 0.0714, 0.2000, 0.0702, 0.5000, 0.1818, 0.5185, 0.4500, 0.5000, 0.1786, 0.0000, 0.1538, 0.0467, 0.1094, 0.0556, 0.4545, 1.0000, 0.1471, 0.8750, 1.0000, 0.0000, 0.2308, 0.0935, 0.2281, 1.0000, 0.4348, 0.1667, 0.3333, 0.3333, 0.0213, 0.4706, 0.0704, 0.1146, 0.0984, 0.4615, 0.1235, 0.1848, 0.0177, 0.2131, 0.0261, 0.1333, 1.0000, 0.2553, 0.2466, 0.1757, 0.3111, 0.0521, 0.7143, 1.0000, 
iprec_at_recall_0.50, 0.2528, 0.0625, 0.1250, 0.0390, 0.0333, 0.0714, 0.2000, 0.0625, 0.5000, 0.1562, 0.3462, 0.4348, 0.0889, 0.1321, 0.0000, 0.0659, 0.0467, 0.0920, 0.0556, 0.3000, 1.0000, 0.0690, 0.6923, 1.0000, 0.0000, 0.1238, 0.0899, 0.1032, 0.8000, 0.4348, 0.1667, 0.3333, 0.3333, 0.0213, 0.4545, 0.0674, 0.1146, 0.0984, 0.4615, 0.0917, 0.0950, 0.0177, 0.2131, 0.0261, 0.1333, 1.0000, 0.1786, 0.2000, 0.1293, 0.2338, 0.0521, 0.6000, 1.0000, 
iprec_at_recall_0.60, 0.2032, 0.0625, 0.1250, 0.0000, 0.0221, 0.0600, 0.2000, 0.0625, 0.5000, 0.1481, 0.1382, 0.1600, 0.0889, 0.1321, 0.0000, 0.0659, 0.0462, 0.0662, 0.0547, 0.1111, 1.0000, 0.0630, 0.6842, 0.7500, 0.0000, 0.0468, 0.0779, 0.0978, 0.8000, 0.0851, 0.0156, 0.0385, 0.3333, 0.0213, 0.4000, 0.0101, 0.1146, 0.0842, 0.4615, 0.0684, 0.0426, 0.0157, 0.1882, 0.0261, 0.1136, 1.0000, 0.0344, 0.1327, 0.1024, 0.2317, 0.0521, 0.4286, 1.0000, 
iprec_at_recall_0.70, 0.1720, 0.0513, 0.1250, 0.0000, 0.0221, 0.0600, 0.2000, 0.0492, 0.5000, 0.1481, 0.0000, 0.0761, 0.0889, 0.0542, 0.0000, 0.0000, 0.0444, 0.0391, 0.0248, 0.0000, 1.0000, 0.0630, 0.6842, 0.7500, 0.0000, 0.0400, 0.0514, 0.0824, 0.8000, 0.0276, 0.0156, 0.0385, 0.3333, 0.0213, 0.3256, 0.0101, 0.0000, 0.0448, 0.1356, 0.0219, 0.0307, 0.0157, 0.1044, 0.0261, 0.0833, 1.0000, 0.0000, 0.0741, 0.0852, 0.1215, 0.0435, 0.4286, 1.0000, 
iprec_at_recall_0.80, 0.1158, 0.0513, 0.0341, 0.0000, 0.0139, 0.0251, 0.0857, 0.0406, 0.0750, 0.1481, 0.0000, 0.0464, 0.0889, 0.0542, 0.0000, 0.0000, 0.0372, 0.0000, 0.0248, 0.0000, 0.7500, 0.0299, 0.4516, 0.1481, 0.0000, 0.0000, 0.0000, 0.0432, 0.8000, 0.0000, 0.0156, 0.0385, 0.0000, 0.0213, 0.3077, 0.0095, 0.0000, 0.0448, 0.1356, 0.0000, 0.0000, 0.0000, 0.0778, 0.0261, 0.0117, 1.0000, 0.0000, 0.0538, 0.0517, 0.0767, 0.0147, 0.1887, 1.0000, 
iprec_at_recall_0.90, 0.0700, 0.0063, 0.0341, 0.0000, 0.0113, 0.0000, 0.0857, 0.0141, 0.0750, 0.0978, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7500, 0.0299, 0.0457, 0.1481, 0.0000, 0.0000, 0.0000, 0.0000, 0.0231, 0.0000, 0.0156, 0.0385, 0.0000, 0.0213, 0.0692, 0.0088, 0.0000, 0.0391, 0.0446, 0.0000, 0.0000, 0.0000, 0.0334, 0.0261, 0.0000, 1.0000, 0.0000, 0.0000, 0.0218, 0.0000, 0.0000, 0.0000, 1.0000, 
iprec_at_recall_1.00, 0.0651, 0.0063, 0.0341, 0.0000, 0.0000, 0.0000, 0.0857, 0.0000, 0.0750, 0.0978, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7500, 0.0000, 0.0457, 0.1481, 0.0000, 0.0000, 0.0000, 0.0000, 0.0231, 0.0000, 0.0156, 0.0385, 0.0000, 0.0213, 0.0126, 0.0088, 0.0000, 0.0000, 0.0218, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 
map, 0.2700, 0.1907, 0.1641, 0.0183, 0.1232, 0.1635, 0.2063, 0.2330, 0.3583, 0.1864, 0.3445, 0.3365, 0.3354, 0.3263, 0.0325, 0.1063, 0.0646, 0.1420, 0.0754, 0.3503, 0.9167, 0.1808, 0.6571, 0.7245, 0.0401, 0.1860, 0.1047, 0.2503, 0.7146, 0.2231, 0.2992, 0.1859, 0.4444, 0.0213, 0.3226, 0.0546, 0.1043, 0.1571, 0.3415, 0.0915, 0.1591, 0.1260, 0.2307, 0.0341, 0.2255, 1.0000, 0.1835, 0.2044, 0.1406, 0.3378, 0.0447, 0.5743, 1.0000, 
num_rel, 796, 5, 3, 6, 12, 8, 3, 28, 3, 9, 35, 19, 5, 11, 44, 10, 17, 16, 11, 11, 3, 11, 17, 4, 13, 51, 30, 29, 5, 19, 4, 2, 3, 1, 20, 12, 16, 12, 10, 21, 41, 17, 26, 12, 8, 1, 30, 43, 27, 31, 8, 12, 1, 
num_rel_ret, 631, 5, 3, 3, 11, 7, 3, 26, 3, 9, 24, 17, 4, 9, 15, 6, 15, 12, 9, 7, 3, 10, 17, 4, 4, 38, 23, 25, 5, 14, 4, 2, 2, 1, 20, 12, 11, 11, 10, 15, 30, 12, 25, 11, 7, 1, 19, 37, 25, 27, 7, 10, 1, 
num_ret, 48615, 1230, 1192, 588, 1088, 615, 201, 1864, 567, 544, 350, 368, 440, 305, 630, 408, 872, 315, 458, 272, 374, 461, 1666, 451, 188, 970, 544, 590, 1672, 650, 469, 1042, 1188, 2577, 1606, 1416, 127, 842, 1301, 1059, 1102, 824, 1145, 2479, 751, 3204, 1516, 1071, 1472, 1102, 569, 565, 1315, 
recip_rank, 0.6311, 0.3333, 0.3333, 0.0333, 0.5000, 0.5000, 0.3333, 1.0000, 0.5000, 0.2500, 1.0000, 1.0000, 1.0000, 1.0000, 0.1429, 0.5000, 0.2500, 0.3333, 0.1250, 1.0000, 1.0000, 0.5000, 1.0000, 1.0000, 0.3333, 1.0000, 0.1429, 1.0000, 1.0000, 0.5000, 1.0000, 0.3333, 1.0000, 0.0213, 0.3333, 0.1429, 0.2500, 1.0000, 1.0000, 0.1000, 1.0000, 1.0000, 1.0000, 0.2000, 1.0000, 1.0000, 0.5000, 1.0000, 0.2500, 1.0000, 0.0769, 1.0000, 1.0000, 
Rprec, 0.3094, 0.4000, 0.3333, 0.0000, 0.1667, 0.2500, 0.3333, 0.2857, 0.3333, 0.2222, 0.4000, 0.4211, 0.4000, 0.3636, 0.1136, 0.1000, 0.1176, 0.2500, 0.1818, 0.4545, 0.6667, 0.2727, 0.6471, 0.7500, 0.0769, 0.3137, 0.2000, 0.3103, 0.8000, 0.3684, 0.2500, 0.0000, 0.3333, 0.0000, 0.4500, 0.0833, 0.1250, 0.1667, 0.4000, 0.1905, 0.2439, 0.1176, 0.2308, 0.0833, 0.2500, 1.0000, 0.3333, 0.2558, 0.2222, 0.3226, 0.0000, 0.5000, 1.0000, 
P_5, 0.3538, 0.4000, 0.2000, 0.0000, 0.4000, 0.4000, 0.2000, 0.6000, 0.4000, 0.4000, 0.8000, 0.6000, 0.4000, 0.6000, 0.0000, 0.2000, 0.2000, 0.4000, 0.0000, 0.6000, 0.6000, 0.4000, 0.8000, 0.6000, 0.2000, 0.4000, 0.0000, 0.6000, 0.8000, 0.2000, 0.2000, 0.2000, 0.2000, 0.0000, 0.4000, 0.0000, 0.4000, 0.2000, 0.2000, 0.0000, 0.2000, 0.4000, 0.6000, 0.2000, 0.2000, 0.2000, 0.6000, 0.4000, 0.4000, 1.0000, 0.0000, 0.8000, 0.2000, 
P_10, 0.2577, 0.2000, 0.1000, 0.0000, 0.2000, 0.2000, 0.2000, 0.6000, 0.2000, 0.2000, 0.7000, 0.3000, 0.2000, 0.4000, 0.1000, 0.1000, 0.2000, 0.3000, 0.2000, 0.4000, 0.3000, 0.3000, 0.8000, 0.3000, 0.1000, 0.3000, 0.2000, 0.4000, 0.4000, 0.3000, 0.1000, 0.1000, 0.2000, 0.0000, 0.3000, 0.1000, 0.2000, 0.2000, 0.4000, 0.1000, 0.3000, 0.2000, 0.4000, 0.1000, 0.2000, 0.1000, 0.4000, 0.3000, 0.2000, 0.6000, 0.0000, 0.6000, 0.1000, 
P_15, 0.2231, 0.1333, 0.0667, 0.0000, 0.1333, 0.1333, 0.1333, 0.4667, 0.1333, 0.1333, 0.6000, 0.4667, 0.1333, 0.2667, 0.1333, 0.1333, 0.1333, 0.2667, 0.1333, 0.3333, 0.2000, 0.2000, 0.6667, 0.2000, 0.0667, 0.4000, 0.2667, 0.4667, 0.2667, 0.3333, 0.1333, 0.0667, 0.1333, 0.0000, 0.4000, 0.1333, 0.1333, 0.1333, 0.4000, 0.2000, 0.4000, 0.1333, 0.2667, 0.0667, 0.1333, 0.0667, 0.3333, 0.2667, 0.2000, 0.4000, 0.0667, 0.4667, 0.0667, 
P_20, 0.1971, 0.1000, 0.1000, 0.0000, 0.1000, 0.1000, 0.1000, 0.3500, 0.1000, 0.1500, 0.6000, 0.4500, 0.1000, 0.2000, 0.1000, 0.1000, 0.1000, 0.2000, 0.1500, 0.3000, 0.1500, 0.1500, 0.6500, 0.1500, 0.0500, 0.3500, 0.3000, 0.3500, 0.2000, 0.3500, 0.1000, 0.0500, 0.1000, 0.0000, 0.4500, 0.1000, 0.1500, 0.1000, 0.3000, 0.2000, 0.3000, 0.1000, 0.2500, 0.0500, 0.1500, 0.0500, 0.3000, 0.3000, 0.2000, 0.4000, 0.0500, 0.4000, 0.0500, 
P_30, 0.1635, 0.0667, 0.0667, 0.0333, 0.1000, 0.0667, 0.0667, 0.2667, 0.0667, 0.1333, 0.4667, 0.3667, 0.0667, 0.1667, 0.1000, 0.1333, 0.0667, 0.1667, 0.1000, 0.2000, 0.1000, 0.1333, 0.4333, 0.1333, 0.0667, 0.3333, 0.2000, 0.3000, 0.1333, 0.3333, 0.0667, 0.0333, 0.0667, 0.0000, 0.4000, 0.0667, 0.1333, 0.0667, 0.2000, 0.1667, 0.3333, 0.0667, 0.2000, 0.0333, 0.1333, 0.0333, 0.3333, 0.3333, 0.2333, 0.3333, 0.0667, 0.3000, 0.0333, 
P_100, 0.0796, 0.0400, 0.0300, 0.0300, 0.0400, 0.0600, 0.0300, 0.0900, 0.0300, 0.0900, 0.1800, 0.1200, 0.0400, 0.0700, 0.0800, 0.0600, 0.0600, 0.0800, 0.0400, 0.0700, 0.0300, 0.0600, 0.1500, 0.0400, 0.0300, 0.2100, 0.1100, 0.1400, 0.0400, 0.1100, 0.0200, 0.0200, 0.0200, 0.0100, 0.1700, 0.0600, 0.1100, 0.0800, 0.0800, 0.1000, 0.1700, 0.0200, 0.1700, 0.0200, 0.0600, 0.0100, 0.1500, 0.2100, 0.1300, 0.2100, 0.0500, 0.1000, 0.0100, 
P_200, 0.0461, 0.0200, 0.0150, 0.0150, 0.0300, 0.0300, 0.0150, 0.0600, 0.0150, 0.0450, 0.1100, 0.0700, 0.0200, 0.0450, 0.0700, 0.0300, 0.0450, 0.0500, 0.0350, 0.0350, 0.0150, 0.0400, 0.0750, 0.0200, 0.0200, 0.1200, 0.0850, 0.0900, 0.0200, 0.0600, 0.0100, 0.0100, 0.0100, 0.0050, 0.0850, 0.0300, 0.0550, 0.0400, 0.0400, 0.0650, 0.1000, 0.0100, 0.0950, 0.0150, 0.0300, 0.0050, 0.0800, 0.1300, 0.0850, 0.1100, 0.0300, 0.0500, 0.0050, 
P_500, 0.0221, 0.0080, 0.0060, 0.0060, 0.0180, 0.0140, 0.0060, 0.0420, 0.0060, 0.0180, 0.0480, 0.0340, 0.0080, 0.0180, 0.0300, 0.0120, 0.0280, 0.0240, 0.0180, 0.0140, 0.0060, 0.0200, 0.0340, 0.0080, 0.0080, 0.0580, 0.0460, 0.0460, 0.0100, 0.0260, 0.0080, 0.0040, 0.0040, 0.0020, 0.0360, 0.0120, 0.0220, 0.0220, 0.0200, 0.0280, 0.0480, 0.0160, 0.0440, 0.0220, 0.0120, 0.0020, 0.0340, 0.0600, 0.0460, 0.0520, 0.0140, 0.0200, 0.0020, 
P_1000, 0.0119, 0.0050, 0.0030, 0.0030, 0.0110, 0.0070, 0.0030, 0.0230, 0.0030, 0.0090, 0.0240, 0.0170, 0.0040, 0.0090, 0.0150, 0.0060, 0.0150, 0.0120, 0.0090, 0.0070, 0.0030, 0.0100, 0.0170, 0.0040, 0.0040, 0.0380, 0.0230, 0.0250, 0.0050, 0.0140, 0.0040, 0.0020, 0.0020, 0.0010, 0.0180, 0.0090, 0.0110, 0.0110, 0.0100, 0.0150, 0.0290, 0.0120, 0.0250, 0.0110, 0.0070, 0.0010, 0.0190, 0.0370, 0.0240, 0.0270, 0.0070, 0.0100, 0.0010, 
gm_map, 0.1848, 
num_q, 52, 
runid, STANDARD, 
